feature,mean,std,corr_with_rul,slope_rul_per_unit,shap_importance
anchor_cycle,1.8037713612256925,1.3237453034240227,0.32058455569456334,8.770875022343127,0.08749442481513162
capacity_mean,1.3199510339218246,0.44433023909370717,0.4446831693236446,36.24512323601913,0.05685776799281263
ambient_temp_c,17.983935489436874,8.71458544206295,0.39438226786747826,1.6389866138243074,0.08622232258640304
voltage_measured_mean,3.4342039975858767,0.209323899093052,0.050499169999695885,8.737157873938724,0.13981926531058475
voltage_min,2.296686852468269,0.26498465416892447,-0.2945337494314511,-40.25493234527846,0.03196021297076225
voltage_max,4.187988781428197,0.01742909189299719,0.20421087209214822,424.33500429580977,0.07531637467901811
voltage_std,0.30478669683393733,0.07511023663630066,-0.045601309715968055,-21.98785907328693,0.031492357435680456
re_ohm_interp,1.5116548142810187,2.876679207663422,-0.1248235138880946,-1.5714831497360924,0.2649453659170973
rct_ohm_interp,1.5116548142810187,2.876679207663422,-0.1248235138880946,-1.5714831497360924,0.0
temperature_measured_max,35.44852002591437,15.412745740715199,0.42160169361170374,0.9906656200675292,0.043273554449025246
temperature_mean,26.637233081859257,11.62853101841322,0.4095180935454667,1.2754193390900748,0.07852934946884663
temperature_min,17.900272675721887,8.829518387983645,0.39537144577536404,1.621709438195001,0.11502704948307865
temperature_std,4.485992581946201,2.4538817633914967,0.29873814247103675,4.409017290683436,0.1134406259430566
temp_rise_cycle,17.464584536477496,8.85813270985901,0.3455764140809682,1.4128845305555042,0.3024773321833758
eff_c_rate,1.5279857787712021,0.46739320646150645,0.37936771884284015,29.395627560780387,0.4417928835171756
current_mean,-1.6932396039983437,0.5610090420503931,-0.21551023303061373,-13.912423658728715,0.04486993774584027
current_std,0.8549975518632649,0.6707230643793579,0.3018004898417902,16.29601659648023,0.04771424138118535
current_min,-2.5067988172117928,1.0657719936493046,-0.2785904378834331,-9.466875399630524,0.12260701276385866
current_max,0.0013762462561942078,0.002177401332940213,0.02020111254838585,336.0017680166707,0.04681656392523962
dvdt_max_abs,0.061927832229862714,0.03252159037400145,0.20154646787057193,224.44409039332317,0.02857332641154788
dTdt_max,0.03155728539302449,0.01783667386277875,0.01660921428737976,33.72406949688548,0.033682214745917094
soh,0.7728718930352257,0.23894705798247556,0.46669530023985323,70.73534866208102,0.2070388761735396
capacity_derivative,-0.0032474411583871495,0.0900808482526869,0.005478520528615435,2.2025997471861105,0.21557650114918692
cap_vel,-0.0034463884907589273,0.04799299964593057,0.010038551946252834,7.575266822248378,0.07732190252568995
regen_strength,0.3899289612298734,0.41384038923720984,-0.4675838018604884,-40.91959651640788,0.16259157119277978
impedance_sum,3.006302394648006,5.662979232134665,-0.12460567177091361,-0.7968885756483031,0.15088843140794309
impedance_growth,0.19928128088770708,0.6665452135381292,-0.23889013735905273,-12.979960320998135,0.05167068000645683
dcr,1.503151197324003,2.8314896160673326,-0.12460567177091361,-1.5937771512966061,0.2956181031111466
dcr_growth,0.1992812060290787,0.6665450259334432,-0.2388901034301385,-12.979962130807936,0.08891053437605606
lli,-0.2458043822273241,3.1064709756052222,0.01549332634115263,0.18062677471105126,0.17937242671100828
lam,11.05713961546612,97.21937330307327,-0.0814123117985471,-0.03032787830992637,0.06927807674490544
temp_rise,17.464584536477496,8.85813270985901,0.3455764140809682,1.4128845305555042,0.03961584747368435
thermal_stress,0.9801701536325661,0.2557557613867201,0.14470309120526817,20.490716363739878,0.09427519151715155
Residual,1.51286682390673,1.5633773981823575,0.0674851104048465,1.5633236302395952,0.07280909865127551
IMF1,0.06777267515950833,0.5277185337598751,-0.11101088525996218,-7.618473787906142,0.04313541118599053
IMF2,-0.5453248261154497,3.6330927927096317,0.11442642261717455,1.140655736723315,0.3241599765530797
IMF3,0.8098972304774101,4.854392527252224,-0.1234622576508091,-0.9210942740010983,0.07384533604957316
IMF4,-0.72109074253803,4.160454299090236,0.12549228752368763,1.0923983584108434,0.10622740495794981
IMF5,0.7778325520122998,4.5992552864645395,-0.12527943408992448,-0.9864998544531275,0.12394649375881217
IMF6,-0.582002678981766,3.572612705388893,0.1087057675206172,1.1019741503598068,0.13104352523237023
